datetime_utc,elapsed_s,window_s,centroid_cs,delta_pct,counts_in_window,total_counts,status
2026-07-03T13:44:51.246442+00:00,17375.851052499987,60,1434.2860934199553,-0.01681717201085592,79174369,363837655,OK
2026-07-03T13:45:51.457952+00:00,17436.0625268,60,1434.2818971180013,-0.017109693584749418,80754302,362639419,OK
2026-07-03T13:46:51.659946+00:00,17496.26455339999,60,1434.2831356177815,-0.017023358542865397,79683666,362049917,OK
2026-07-03T13:47:51.909844+00:00,17556.514410600008,60,1434.2871542753978,-0.016743220444180633,79936783,363202982,OK
2026-07-03T13:48:52.157945+00:00,17616.76257379999,60,1434.2913128893422,-0.01645332607776586,80189919,364343586,OK
2026-07-03T13:49:52.370169+00:00,17676.974779399985,60,1434.2945932417974,-0.016224654768200716,81788492,371384964,OK
2026-07-03T13:50:52.576627+00:00,17737.18121139999,60,1434.2916984011567,-0.01642645229127794,80704779,366756641,OK
2026-07-03T13:51:52.782500+00:00,17797.387099099986,60,1434.292189326737,-0.016392230177391127,80958053,367863543,OK
2026-07-03T13:52:53.029756+00:00,17857.634362200013,60,1434.2961683426715,-0.016114855475444004,81206505,369023241,OK
2026-07-03T13:53:53.229326+00:00,17917.833908800007,60,1434.2963110661485,-0.016104906311495085,81467251,374607419,OK
2026-07-03T13:54:53.428060+00:00,17978.032665000006,60,1434.3012459729484,-0.01576089705763784,83090568,373069566,OK
2026-07-03T13:55:53.645560+00:00,18038.250161200005,60,1434.2990616930265,-0.015913161839249814,81986495,372566505,OK
2026-07-03T13:56:53.884280+00:00,18098.488847600005,60,1434.290384057713,-0.016518074347319674,82240999,373713773,OK
2026-07-03T13:57:54.135378+00:00,18158.739957499987,60,1434.2946527989286,-0.016220503077988523,82496318,374849273,OK
2026-07-03T13:58:54.348169+00:00,18218.952746099996,60,1434.2913680436575,-0.01644948130508334,84131299,382056734,OK
2026-07-03T13:59:54.563850+00:00,18279.168446099997,60,1434.2818230774753,-0.01711485490331791,83004920,377236969,OK
2026-07-03T14:00:54.824268+00:00,18339.428838299995,60,1434.2814064031918,-0.017143901005948516,83258571,378334958,OK
2026-07-03T14:01:55.061860+00:00,18399.666450299992,60,1434.292963947545,-0.016338231847319133,83517669,379503047,OK
2026-07-03T14:02:55.279178+00:00,18459.883824899996,60,1434.260368169963,-0.018610463032136655,85167730,386693030,OK
2026-07-03T14:03:55.561519+00:00,18520.1661148,60,1434.3302534054546,-0.01373880715455372,84044284,381983158,OK
2026-07-03T14:04:55.813380+00:00,18580.417945099995,60,1434.3008880843213,-0.01578584524907924,84295937,382989950,OK
2026-07-03T14:05:56.054557+00:00,18640.659164300014,60,1434.3025599804628,-0.015669298419021625,84548614,384140213,OK
2026-07-03T14:06:56.261427+00:00,18700.86601550001,60,1434.2694799000828,-0.017975290047724468,86216972,391440343,OK
2026-07-03T14:07:56.474519+00:00,18761.0787327,60,1434.3385962415402,-0.013157233290400956,85074636,386617271,OK
2026-07-03T14:08:56.684170+00:00,18821.288803300005,60,1434.307520654371,-0.01532349295622295,85323586,387610985,OK
2026-07-03T14:09:56.930438+00:00,18881.535038800008,60,1434.315128021124,-0.014793188197360299,85579197,388785377,OK
2026-07-03T14:10:57.192799+00:00,18941.797408299986,60,1434.319955003744,-0.014456702270308557,85839142,394576202,OK
2026-07-03T14:11:57.410659+00:00,19002.015272399993,60,1434.3246138275017,-0.014131938591948051,87533745,392895855,OK
2026-07-03T14:12:57.623263+00:00,19062.227918799996,60,1434.3403223042392,-0.01303691054364076,86356109,392311444,OK
2026-07-03T14:13:57.854688+00:00,19122.459291000006,60,1434.350610928361,-0.012319697017455862,86610646,393463893,OK
2026-07-03T14:14:58.101536+00:00,19182.706187200005,60,1434.3561225358883,-0.011935486318066174,86861018,394605681,OK
2026-07-03T14:15:58.319542+00:00,19242.92412740001,60,1434.3577778740191,-0.01182009373653287,88573574,402138939,OK
2026-07-03T14:16:58.537828+00:00,19303.142384100007,60,1434.3602878077543,-0.011645127832115746,87376798,397012751,OK
2026-07-03T14:17:58.786956+00:00,19363.39152569999,60,1434.371155846712,-0.01088752366159015,87632269,398108660,OK
2026-07-03T14:18:59.037897+00:00,19423.64247379999,60,1434.378844180524,-0.010351574739898173,87885766,399267703,OK
2026-07-03T14:19:59.315756+00:00,19483.920355799986,60,1434.3879250865848,-0.009718550481294675,89614390,406916672,OK
2026-07-03T14:20:59.535087+00:00,19544.139706099988,60,1434.3999567322571,-0.008879832017456627,88403040,401683025,OK
2026-07-03T14:21:59.776448+00:00,19604.381018299988,60,1434.4075198322826,-0.00835261306437699,88657722,402774299,OK
2026-07-03T14:23:00.019634+00:00,19664.6242623,60,1434.4206135642996,-0.007439857228446309,88914919,403940384,OK
2026-07-03T14:24:00.303942+00:00,19724.90856370001,60,1434.4319106347566,-0.0066523455415503805,90665047,411663460,OK
2026-07-03T14:25:00.527050+00:00,19785.131681500003,60,1434.4345033164113,-0.006471611331625916,89435681,406352726,OK
2026-07-03T14:26:00.761294+00:00,19845.365892400005,60,1434.4410167324015,-0.006017565193432839,89691250,407446637,OK
2026-07-03T14:27:01.010327+00:00,19905.614962099993,60,1434.4434963184217,-0.005844714809168533,89949599,408601391,OK
2026-07-03T14:28:01.234504+00:00,19965.839101999998,60,1434.4421823853845,-0.005936308256028915,91713884,416335547,OK
2026-07-03T14:29:01.509292+00:00,20026.113887999993,60,1434.4455854808991,-0.005699080604879197,90473592,411081744,OK
2026-07-03T14:30:01.756452+00:00,20086.361082799995,60,1434.4470112976173,-0.005599687816878207,90732671,412122753,OK
2026-07-03T14:31:02.003448+00:00,20146.608049200004,60,1434.4542430095828,-0.0050955697173448895,90998074,413287569,OK
2026-07-03T14:32:02.279410+00:00,20206.8840242,60,1434.4656725221942,-0.004298825571041878,92779741,421142378,OK
2026-07-03T14:33:02.510692+00:00,20267.114871900005,60,1434.48065885278,-0.003254137877455577,91516469,415678004,OK
2026-07-03T14:34:02.758630+00:00,20327.363169799995,60,1434.4789139876193,-0.0033757713320115026,91765952,416772961,OK
2026-07-03T14:35:03.051174+00:00,20387.655762999988,60,1434.4765256282278,-0.003542262365281429,92018224,417925712,OK
2026-07-03T14:36:03.289018+00:00,20447.89363549999,60,1434.4737534581252,-0.003735508602187563,93810587,425840514,OK
2026-07-03T14:37:03.556550+00:00,20508.161149299995,60,1434.4749880754227,-0.003649444205726513,92529485,420329666,OK
2026-07-03T14:38:03.807614+00:00,20568.412225600012,60,1434.465677306575,-0.004298492054865464,92784822,421451567,OK
2026-07-03T14:39:04.055752+00:00,20628.66032709999,60,1434.4597491025654,-0.004711743433401815,93036025,422583719,OK
2026-07-03T14:40:04.336826+00:00,20688.941414500005,60,1434.4595755130206,-0.004723844251556091,94848563,430604749,OK
2026-07-03T14:41:04.616672+00:00,20749.221343100013,60,1434.4569808619488,-0.004904715748309696,93557802,424949972,OK
2026-07-03T14:42:04.926179+00:00,20809.530746100005,60,1434.4514397974265,-0.005290979876320198,93812850,426108092,OK
2026-07-03T14:43:05.182491+00:00,20869.787094400002,60,1434.4125859768355,-0.00799945530917193,95629828,434116663,OK
2026-07-03T14:44:05.474934+00:00,20930.079548799986,60,1434.475138489633,-0.003638958925585262,94335942,428621383,OK
2026-07-03T14:45:05.734908+00:00,20990.33948190001,60,1434.438587996142,-0.006186870872822945,94585124,429612618,OK
2026-07-03T14:46:05.980840+00:00,21050.585466299992,60,1434.4392642505977,-0.006139729599402092,94842075,430769731,OK
2026-07-03T14:47:06.249961+00:00,21110.854548100004,60,1434.435935144152,-0.006371799519029896,96684265,438898938,OK
2026-07-03T14:48:06.538134+00:00,21171.14275140001,60,1434.4355112393148,-0.006401349659010574,95353856,433196003,OK
2026-07-03T14:49:06.779012+00:00,21231.383639000007,60,1434.430896721099,-0.006723024825869119,95609906,434290140,OK
2026-07-03T14:50:07.024894+00:00,21291.62952409999,60,1434.4268058449818,-0.007008197230899031,95870203,435439747,OK
