run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
before-v1.1.2f,170,1700.0,50,0,3.972,14.215,163.993,198.443,198.443,37.741
before-v1.1.2f,171,1710.0,50,0,3.973,59.553,214.877,268.74,268.74,76.029
before-v1.1.2f,172,1720.0,50,0,4.556,27.513,231.898,433.286,433.286,61.117
before-v1.1.2f,173,1730.0,50,0,4.009,19.654,130.869,134.884,134.884,38.083
before-v1.1.2f,174,1740.0,50,0,4.099,53.923,217.608,276.529,276.529,70.989
before-v1.1.2f,175,1750.0,50,0,4.021,30.472,191.172,257.513,257.513,54.226
before-v1.1.2f,176,1760.0,50,0,4.544,14.513,76.482,153.774,153.774,25.203
before-v1.1.2f,177,1770.0,50,0,3.88,18.843,106.426,208.254,208.254,32.648
before-v1.1.2f,178,1780.0,50,0,3.896,25.802,109.007,200.78,200.78,37.682
before-v1.1.2f,179,1790.0,50,0,3.692,16.67,83.747,145.818,145.818,28.161
after-v1.2.2,0,0.0,50,0,3.695,5.271,56.625,174.815,174.815,12.504
after-v1.2.2,1,10.0,50,0,3.684,4.31,54.899,69.567,69.567,10.581
after-v1.2.2,2,20.0,50,0,3.786,5.124,55.62,72.635,72.635,13.497
after-v1.2.2,3,30.0,50,0,3.806,4.749,52.832,62.417,62.417,9.84
after-v1.2.2,4,40.0,50,0,3.718,5.206,47.208,70.625,70.625,10.103
after-v1.2.2,5,50.0,50,0,3.714,4.159,55.477,71.901,71.901,10.847
after-v1.2.2,6,60.0,50,0,3.718,5.121,67.136,95.215,95.215,14.541
after-v1.2.2,7,70.0,50,0,3.611,6.286,61.276,64.622,64.622,12.111
after-v1.2.2,8,80.0,50,0,3.699,5.193,66.367,72.065,72.065,11.87
after-v1.2.2,9,90.0,50,0,3.784,7.143,59.917,83.579,83.579,15.708
after-v1.2.2,10,100.0,50,0,3.646,5.358,60.412,71.11,71.11,11.257
after-v1.2.2,11,110.0,50,0,3.69,5.346,48.293,74.059,74.059,10.435
after-v1.2.2,12,120.0,50,0,3.679,5.741,61.012,69.225,69.225,12.185
after-v1.2.2,13,130.0,50,0,3.646,5.913,39.307,63.068,63.068,10.929
after-v1.2.2,14,140.0,50,0,3.731,5.067,69.119,75.32,75.32,11.719
after-v1.2.2,15,150.0,50,0,3.569,4.904,72.755,73.354,73.354,12.572
after-v1.2.2,16,160.0,50,0,3.705,5.237,61.544,95.076,95.076,12.381
